Ordinance,Pool,Meter,Year,nrows,MFStart,MfEnd,MFLength,WTCStart,WTCEnd,WTCLength,Distance,DistanceFromEdge,Co_WTC,Co_MF,Co,1,2,3,4,5,ClayAvg,Clay %
NS,1,3,2019,2,102,102,0,NA,NA,NA,3.3,3.3,NA,0,0,NA,NA,NA,NA,NA,NA,70.04
NS,1,3,2019,2,102,102,0,NA,NA,NA,3.5,3.5,NA,0,0,NA,NA,NA,NA,NA,NA,71.68
NS,1,3,2019,2,102,102,0,NA,NA,NA,3.7,3.7,NA,0,0,NA,NA,NA,NA,NA,NA,73.32
NS,1,3,2019,2,102,102,0,NA,NA,NA,3.9,3.9,NA,0,0,NA,NA,NA,NA,NA,NA,74.96
NS,1,3,2020,3,107,107,0,92,92,0,3.1,3.1,1,1,1,65,77,68,64,68,68.4,68.4
NS,1,3,2020,3,107,107,0,92,92,0,3.3,3.3,1,1,1,NA,NA,NA,NA,NA,NA,70.04
NS,1,3,2020,3,107,107,0,92,92,0,3.5,3.5,1,1,1,NA,NA,NA,NA,NA,NA,71.68
NS,1,3,2020,3,107,107,0,92,92,0,3.7,3.7,1,1,1,NA,NA,NA,NA,NA,NA,73.32
NS,1,3,2020,3,107,107,0,92,92,0,3.9,3.9,1,1,1,NA,NA,NA,NA,NA,NA,74.96
NS,1,3,2021,7,75,95,20,NA,NA,NA,3.1,3.1,NA,0,0,65,77,68,64,68,68.4,68.4
NS,1,3,2021,7,75,95,20,NA,NA,NA,3.3,3.3,NA,0,0,NA,NA,NA,NA,NA,NA,70.04
NS,1,3,2021,7,75,95,20,NA,NA,NA,3.5,3.5,NA,0,0,NA,NA,NA,NA,NA,NA,71.68
NS,1,3,2021,7,75,95,20,NA,NA,NA,3.7,3.7,NA,0,0,NA,NA,NA,NA,NA,NA,73.32
NS,1,3,2021,7,75,95,20,NA,NA,NA,3.9,3.9,NA,0,0,NA,NA,NA,NA,NA,NA,74.96
NS,1,3,2018,3,NA,NA,NA,NA,NA,NA,3.1,3.1,NA,NA,NA,65,77,68,64,68,68.4,68.4
